nome,codice,video_breve,video_preparazione,video_workout,immagine
SIT-UP,sit_up,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
CRUNCH,cruch,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
BICEPS CURL,biceps_curl,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
biceps_curl,biceps_curl,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
triceps_push_down,triceps_push_down,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
pulls_apart,pulls_apart,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
high_elbow_curl,high_elbow_curl,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
lat_pull_down_supinated_grip,lat_pull_down_supinated_grip,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
bench_press,bench_press,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
chest_fly,chest_fly,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
cross_over,cross_over,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
single_arm_cross_over,single_arm_cross_over,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
chest_press,chest_press,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
seated_french_press,seated_french_press,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
standing_french_press,standing_french_press,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
kneeling_french_press,kneeling_french_press,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
skull_crusher,skull_crusher,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
standing_single_arm_french_press,standing_single_arm_french_press,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
french_press,french_press,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
half_kneeling_single_arm,half_kneeling_single_arm,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
plank_triceps_extension,plank_triceps_extension,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
pull_down,pull_down,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
shoulder_press,shoulder_press,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
seesaw_press,seesaw_press,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
cuban_press,cuban_press,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
scapular_pull,scapular_pull,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
seated_arnold_press,seated_arnold_press,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
standing_arnold_press,standing_arnold_press,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
single_arm_arnold_press,single_arm_arnold_press,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
single_armhole_kneeling,single_armhole_kneeling,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
lateral_raises_,lateral_raises_,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
seated_lateral_raises_,seated_lateral_raises_,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
bent_over_lateral_raises,bent_over_lateral_raises,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
bent_over_front_raises,bent_over_front_raises,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
front_raises,front_raises,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
high_pull,high_pull,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
alternating_front_raises_shrugs,alternating_front_raises_shrugs,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
arnold_press,arnold_press,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
foot_anchored_push_ups,foot_anchored_push_ups,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
narrow_push_ups,narrow_push_ups,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
wide_push_ups,wide_push_ups,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
archer_push_ups,archer_push_ups,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
pike_push_ups,pike_push_ups,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
tiger_band_push_ups,tiger_band_push_ups,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
scapular_push_ups,scapular_push_ups,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
ab_horizon_push_ups,ab_horizon_push_ups,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
pull_ups,pull_ups,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
lat_pulldown,lat_pulldown,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
lat_pulldown_narrow_grip,lat_pulldown_narrow_grip,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
single_arm_pulldown,single_arm_pulldown,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
bodyweight_row,bodyweight_row,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
seated_face_pull,seated_face_pull,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
single_arm_row_r,single_arm_row_r,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
single_arm_low_row,single_arm_low_row,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
seated_cable_row,seated_cable_row,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
single_arm_row_l,single_arm_row_l,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
face_pull,face_pull,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
seated_seesaw_row,seated_seesaw_row,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
single_arm_high_row,single_arm_high_row,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
bent_over_row,bent_over_row,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
chin_ups,chin_ups,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
standing_biceps_curls,standing_biceps_curls,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
seated_biceps_curls,seated_biceps_curls,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
high_elbow_curls,high_elbow_curls,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
zottman_curl,zottman_curl,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
pronated_grip_curl,pronated_grip_curl,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
goblet_squat,goblet_squat,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
sumo_squat,sumo_squat,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
deadlift,deadlift,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
romanian_deadlift,romanian_deadlift,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
split_stance_romanian_deadlift,split_stance_romanian_deadlift,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
split_squat_,split_squat_,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
bulgarian_split_squat,bulgarian_split_squat,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
assisted_squat,assisted_squat,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
assisted_squat_jump,assisted_squat_jump,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
assisted_reverse_lunges,assisted_reverse_lunges,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
assisted_plyo_lunges,assisted_plyo_lunges,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
assisted_skater_squat,assisted_skater_squat,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
assisted_pistol_squat,assisted_pistol_squat,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
sprinter,sprinter,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
glute_bridge,glute_bridge,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
harmstrig_curl,harmstrig_curl,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
glute_bridge,glute_bridge,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
hip_thrust,hip_thrust,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
cable_pull_through,cable_pull_through,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
step_up_weighted,step_up_weighted,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
kneeling_pull_throug,kneeling_pull_throug,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
kossack_squat_weighted,kossack_squat_weighted,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
kossack_squat_assisted,kossack_squat_assisted,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
weighted_overhead_crunch,weighted_overhead_crunch,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
wood_chopper,wood_chopper,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
kneeling_crunch,kneeling_crunch,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
weighted_overhead_sit_up,weighted_overhead_sit_up,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
tuck_crunch,tuck_crunch,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
single_leg_knee_to_elbow_r,single_leg_knee_to_elbow_r,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
crossing_knee_t_elbow,crossing_knee_t_elbow,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
single_leg_knee_to_chest_r,single_leg_knee_to_chest_r,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
side_plank_rotation_plank,side_plank_rotation_plank,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
plank_psoas_march,plank_psoas_march,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
pallof_press,pallof_press,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
atomic_push_up,atomic_push_up,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
plank_and_single_arm_pull,plank_and_single_arm_pull,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
lateral_plank_and_pull,lateral_plank_and_pull,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
squat_and_row,squat_and_row,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
thruster,thruster,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
speed_skater,speed_skater,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
uppercut,uppercut,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
squat_and_alternated_frontal_press,squat_and_alternated_frontal_press,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
alternated_squat_and_row,alternated_squat_and_row,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
jab,jab,placeholver_video.mp4,placeholver_video.mp4,placeholver_video.mp4,place_holder_1x1.png
